timestamp,temperature,setpoint,mode,boiler
1770549012,22.3,22,schedule,False
1770550813,22.3,22,schedule,False
1770551106,22.3,22,schedule,False
1770551412,22.3,22,schedule,False
1770551706,22.3,22,schedule,False
1770552017,22.3,22,schedule,False
1770552307,22.2,22,schedule,False
1770552612,22.2,22,schedule,False
1770552907,22.2,22,schedule,False
1770553808,22.2,22,schedule,False
1770554107,22.2,22,schedule,False
1770554408,22.2,22,schedule,False
1770554707,22.2,22,schedule,False
1770555008,22.2,22,schedule,False
1770555307,22.2,22,schedule,False
1770555609,22.2,22,schedule,False
1770555907,22.2,22,schedule,False
1770556210,22.2,22,schedule,False
1770556507,22.2,22,schedule,False
1770556808,22.2,22,schedule,False
1770557107,22.1,22,schedule,False
1770557408,22.1,22,schedule,False
1770557706,22.1,22,schedule,False
1770558010,22.2,22,schedule,False
1770558306,22.2,22,schedule,False
1770558610,22.1,22,schedule,False
1770558906,22.1,22,schedule,False
1770559215,22.1,22,schedule,False
1770559507,22.1,22,schedule,False
1770559808,22.1,22,schedule,False
1770560109,22.1,22,schedule,False
1770560707,22.2,22,schedule,False
1770561007,22.2,22,schedule,False
1770561102,22.2,22,schedule,False
1770561306,22.2,22,schedule,False
1770561607,22.2,22,schedule,False
1770561908,22.2,22,schedule,False
1770562210,22.2,22,schedule,False
1770562508,22.1,22,schedule,False
1770562815,22.1,22,schedule,False
1770563106,22,22,schedule,False
1770563408,22,22,schedule,False
1770563707,21.9,22,schedule,False
1770564006,21.9,22,schedule,False
1770564308,21.9,22,schedule,False
1770564608,21.9,22,schedule,False
1770564906,21.8,22,schedule,True
1770565208,21.8,22,schedule,True
1770565506,21.8,22,schedule,True
1770565809,21.8,22,schedule,True
1770566106,21.8,22,schedule,True
1770566415,21.7,22,schedule,True
1770566706,21.7,22,schedule,True
1770567009,21.7,22,schedule,True
1770567306,21.7,22,schedule,True
1770567611,21.7,22,schedule,True
1770567906,21.7,22,schedule,True
1770568206,21.7,22,schedule,True
1770568507,21.6,22,schedule,True
1770568806,21.6,22,schedule,True
1770569108,21.6,22,schedule,True
1770569406,21.6,22,schedule,True
1770569707,21.6,22,schedule,True
1770570015,21.6,22,schedule,True
1770570307,21.6,22,schedule,True
1770570606,21.6,22,schedule,True
1770570908,21.6,22,schedule,True
1770571507,21.6,22,schedule,True
1770571810,21.6,22,schedule,True
1770572107,21.6,22,schedule,True
1770572409,21.6,22,schedule,True
1770572707,21.6,22,schedule,True
1770573009,21.6,22,schedule,True
1770573307,21.6,22,schedule,True
1770573614,21.6,22,schedule,True
1770573906,21.6,22,schedule,True
1770574207,21.7,22,schedule,True
1770574810,21.7,22,schedule,True
