"Home name",Long,Lat
Palackeho,15.421978,50.033354

,,"Product name","Product type",,,
,,Thermostat,NATherm1,,,

Timestamp,"Timezone : Europe/Prague","Temperature °C","Setpoint Temperature °C","Boiler ON","Boiler OFF",
1769789250,"2026/01/30 17:07:30",22.1,30,602,0,
1769789850,"2026/01/30 17:17:30",22.2,30,603,0,
1769790450,"2026/01/30 17:27:30",22.4,30,592,0,
1769791050,"2026/01/30 17:37:30",22.5,30,602,0,
1769791650,"2026/01/30 17:47:30",22.6,30,603,0,
1769792250,"2026/01/30 17:57:30",22.7,30,602,0,
1769792850,"2026/01/30 18:07:30",22.7,30,603,0,
1769793450,"2026/01/30 18:17:30",22.8,30,591,0,
1769794050,"2026/01/30 18:27:30",22.9,30,603,0,
1769794650,"2026/01/30 18:37:30",22.9,30,602,0,
1769795250,"2026/01/30 18:47:30",22.9,30,603,0,
1769795850,"2026/01/30 18:57:30",23,30,592,0,
1769796450,"2026/01/30 19:07:30",23,30,602,0,
1769797050,"2026/01/30 19:17:30",23,30,603,0,
1769797650,"2026/01/30 19:27:30",23.1,30,602,0,
1769798250,"2026/01/30 19:37:30",23.1,30,592,0,
1769798850,"2026/01/30 19:47:30",23.1,30,602,0,
1769799450,"2026/01/30 19:57:30",23.2,30,603,0,
1769800050,"2026/01/30 20:07:30",23.2,30,602,0,
1769800650,"2026/01/30 20:17:30",23.3,30,603,0,
1769801250,"2026/01/30 20:27:30",23.4,30,592,0,
1769801850,"2026/01/30 20:37:30",23.4,30,602,0,
1769802450,"2026/01/30 20:47:30",23.4,30,603,0,
1769803050,"2026/01/30 20:57:30",23.4,30,602,0,
1769803650,"2026/01/30 21:07:30",23.5,30,592,0,
1769804250,"2026/01/30 21:17:30",23.5,30,602,0,
1769804850,"2026/01/30 21:27:30",23.5,30,603,0,
1769805450,"2026/01/30 21:37:30",23.5,30,602,0,
1769806050,"2026/01/30 21:47:30",23.6,30,592,0,
1769806650,"2026/01/30 21:57:30",23.6,30,603,0,
1769807250,"2026/01/30 22:07:30",23.6,30,602,0,
1769807850,"2026/01/30 22:17:30",23.6,30,603,0,
1769808450,"2026/01/30 22:27:30",23.5,30,602,0,
1769809050,"2026/01/30 22:37:30",23.5,30,592,0,
1769809650,"2026/01/30 22:47:30",23.5,30,602,0,
1769810250,"2026/01/30 22:57:30",23.4,30,603,0,
1769810850,"2026/01/30 23:07:30",23.5,30,602,0,
1769811450,"2026/01/30 23:17:30",23.4,30,592,0,
1769812050,"2026/01/30 23:27:30",23.4,30,603,0,
1769812650,"2026/01/30 23:37:30",23.4,30,602,0,
1769813250,"2026/01/30 23:47:30",23.4,30,603,0,
1769813850,"2026/01/30 23:57:30",23.3,30,591,0,
1769814450,"2026/01/31 00:07:30",23.3,30,603,0,
1769815050,"2026/01/31 00:17:30",23.3,30,602,0,
1769815650,"2026/01/31 00:27:30",23.3,30,603,0,
1769816250,"2026/01/31 00:37:30",23.3,30,602,0,
1769816850,"2026/01/31 00:47:30",23.2,30,592,0,
1769817450,"2026/01/31 00:57:30",23.2,30,603,0,
